Player,Opp,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,Week
J. Allen BUF,@ MIA,11,19,13,139,1,0,0,2,2,0,0,0,0,0,0,0,2
J. Brissett NE,vs SEA,11,27,15,149,1,0,0,2,6,0,0,0,0,0,0,0,2
A. Richardson IND,@ GB,11,34,17,204,1,3,0,4,37,0,0,0,0,0,0,0,2
J. Goff DET,vs TB,8,55,34,307,0,2,0,2,5,0,0,0,0,0,0,0,2
B. Nix DEN,vs PIT,7,35,20,246,0,2,0,4,25,0,0,0,0,0,0,0,2
M. Stafford LA,@ ARI,7,27,19,216,0,0,0,0,0,0,0,0,0,0,0,1,2
T. Tagovailoa MIA,vs BUF,6,25,17,145,1,3,0,2,17,0,0,0,0,0,0,0,2
C. Williams CHI,@ HOU,6,37,23,174,0,2,0,5,44,0,0,0,0,0,0,0,2
S. Thompson MIA,vs BUF,3,14,8,80,0,0,0,1,4,0,0,0,0,0,0,0,2
B. Young CAR,vs LAC,1,26,18,84,0,1,0,1,6,0,0,0,0,0,0,0,2
J. Haener NO,@ DAL,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,2
C. Rush DAL,vs NO,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2
M. Trubisky BUF,@ MIA,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,2
J. Winston CLE,@ JAX,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2
C. Tune ARI,vs LA,-1,0,0,0,0,0,0,1,-6,0,0,0,0,0,0,1,2
J. Allen BUF,vs JAX,38,30,23,263,4,0,0,6,44,0,0,0,0,0,0,0,3
D. Prescott DAL,vs BAL,33,51,28,379,2,0,0,2,7,1,0,0,0,0,0,0,3
B. Purdy SF,@ LA,32,30,22,292,3,0,0,10,41,0,0,0,0,0,0,1,3
J. Daniels WAS,@ CIN,31,23,21,254,2,0,0,12,39,1,0,0,0,0,0,0,3
S. Darnold MIN,vs HOU,31,28,17,181,4,0,0,0,0,0,0,0,0,0,0,0,3
J. Burrow CIN,vs WAS,30,38,29,324,3,0,0,1,4,0,0,0,0,0,0,0,3
A. Dalton CAR,@ LV,30,37,26,319,3,0,0,2,-2,0,0,0,0,0,0,0,3
L. Jackson BAL,@ DAL,27,15,12,182,1,0,0,14,87,1,0,0,0,0,0,0,3
M. Willis GB,@ TEN,27,19,13,202,1,0,0,6,73,1,0,0,0,0,0,0,3
A. Rodgers NYJ,vs NE,24,35,27,281,2,0,0,3,18,0,0,0,0,0,0,0,3
D. Jones MIN,@ CLE,23,34,24,236,2,0,0,8,20,0,0,0,0,0,0,0,3
D. Watson CLE,vs NYG,21,37,21,196,2,0,1,4,26,0,0,0,0,0,0,2,3
C. Williams CHI,@ IND,21,52,33,363,2,2,0,1,8,0,0,0,0,0,0,1,3
J. Fields PIT,vs LAC,19,32,25,245,1,1,0,6,6,1,0,0,0,0,0,0,3
P. Mahomes KC,@ ATL,19,39,26,217,2,1,0,6,17,0,0,0,0,0,0,0,3
W. Levis TEN,vs GB,18,34,26,260,2,2,0,3,12,0,0,0,0,0,0,1,3
B. Nix DEN,@ TB,18,36,25,216,0,0,0,9,47,1,0,0,0,0,0,0,3
J. Goff DET,@ ARI,17,23,18,199,2,1,0,3,6,0,0,0,0,0,0,0,3
K. Murray ARI,vs DET,16,34,21,207,1,1,0,5,45,0,0,0,0,0,0,0,3
G. Minshew LV,vs CAR,15,28,18,214,1,1,1,3,14,0,0,0,0,0,0,0,3
M. Stafford LA,vs SF,14,25,16,221,1,0,0,0,0,0,0,0,0,0,0,0,3
K. Cousins ATL,vs KC,13,29,20,230,1,1,0,1,-1,0,0,0,0,0,0,0,3
G. Smith SEA,vs MIA,13,34,26,289,1,2,0,2,-2,0,0,0,0,0,0,0,3
J. Herbert LAC,@ PIT,11,18,12,125,1,0,0,1,0,0,0,0,0,0,0,0,3
J. Hurts PHI,@ NO,11,38,29,311,0,1,0,8,25,0,0,0,0,0,0,1,3
T. Lawrence JAX,@ BUF,11,38,21,178,1,1,0,2,3,0,0,0,0,0,0,0,3
C. Stroud HOU,@ MIN,11,31,20,215,1,2,0,3,12,0,0,0,0,0,0,0,3
B. Mayfield TB,vs DEN,10,33,25,163,1,1,0,0,0,0,0,0,0,0,0,0,3
D. Carr NO,vs PHI,9,25,14,142,1,1,0,2,3,0,0,0,0,0,0,0,3
A. O'Connell LV,vs CAR,9,12,9,82,1,0,0,0,0,0,0,0,0,0,0,0,3
A. Richardson IND,vs CHI,4,20,10,167,0,2,0,8,24,0,0,0,0,0,0,0,3
S. Thompson MIA,@ SEA,4,19,13,107,0,0,0,0,0,0,0,0,0,0,0,0,3
T. Boyle NYG,@ SEA,3,13,7,79,0,0,0,1,6,0,0,0,0,0,0,0,3
J. Brissett NE,@ NYJ,3,18,12,98,0,0,0,0,0,0,0,0,0,0,0,0,3
D. Mills HOU,@ MIN,3,12,7,79,0,0,0,0,0,0,0,0,0,0,0,0,3
D. Maye NE,@ NYJ,1,8,4,22,0,0,0,2,12,0,0,0,0,0,0,0,3
T. Heinicke LAC,@ PIT,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,3
N. Mullens MIN,vs HOU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
M. Trubisky BUF,vs JAX,0,1,1,3,0,0,0,1,-1,0,0,0,0,0,0,0,3
J. Winston CLE,vs NYG,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3
M. Jones JAX,@ BUF,-1,8,5,22,0,0,0,0,0,0,0,0,0,0,0,1,3
J. Love GB,vs MIN,35,54,32,389,4,3,1,1,6,0,0,0,0,0,0,0,4
J. Fields PIT,@ IND,34,34,22,312,1,0,0,10,55,2,0,0,0,0,0,1,4
B. Mayfield TB,vs PHI,32,47,30,347,2,0,0,4,10,1,0,0,0,0,0,0,4
